BlockName,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension, Oralcancer 
,,Chandigarh,,,a,,30.7344,76.7801,,,,,Chandigarh,,>100%,,"POLYGON((76.8377 30.7544,76.8289 30.6809,76.752 30.6844,76.7123 30.7619,76.7717 30.7951,76.8377 30.7544))",30.7344,76.7801,1,,,,,
Chandigarh,UPHC,,351,Health and Wellness Center  Dhanas,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1115857557,30.7677104,76.750425,1115857557,30/09/19,30/09/19,Q3,,277,,Health and Wellness Center  Dhanas,,30.7677104,76.750425,,"1,341","3,280","23,169","3,310","3,280"
Chandigarh,UPHC,,351,Health and Wellness Center Mauli Village,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5725515539,30.6897612,76.8263919,5725515539,06/07/20,06/07/20,Q3,,277,,Health and Wellness Center Mauli Village,,30.6897612,76.8263919,,"1,326","2,277","20,657","2,277","2,277"
Chandigarh,UPHC,,351,Health and Wellness Centre Behlana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4476326345,30.6767742,76.798992,4476326345,06/07/20,06/07/20,Q3,,277,,Health and Wellness Centre Behlana,,30.6767742,76.798992,,"1,094","2,207","23,437","2,257","2,207"
Chandigarh,UPHC,,351,Health and Wellness Centre CITCO-Ind-Area-1,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8438363528,30.7081823,76.803367,8438363528,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre CITCO-Ind-Area-1,,30.7081823,76.803367,,"1,379","3,543","31,688","3,543","3,543"
Chandigarh,UPHC,,351,Health and Wellness Centre Dadumajra,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3567734284,30.7549622,76.739557,3567734284,30/06/19,30/06/19,Q2,,277,,Health and Wellness Centre Dadumajra,,30.7549622,76.739557,,"1,429","2,601","64,758","2,601","2,607"
Chandigarh,UPHC,,351,Health and Wellness Centre Kaimbwala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7684342236,30.7552729,76.8178544,7684342236,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre Kaimbwala,,30.7552729,76.8178544,,816,"1,541","33,506","1,541","1,541"
Chandigarh,UPHC,,351,Health and Wellness Centre Mauli Jagran,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4132478738,30.6930675,76.843654,4132478738,30/06/19,30/06/19,Q2,,277,,Health and Wellness Centre Mauli Jagran,,30.6930675,76.843654,,"1,210","2,265","76,535","2,265","2,265"
Chandigarh,UPHC,,351,Health and Wellness Centre Modern Complex,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7757845719,30.7128806,76.8328014,7757845719,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre Modern Complex,,30.7128806,76.8328014,,"1,120","2,071","42,802","2,071","2,071"
Chandigarh,UPHC,,351,Health and Wellness Centre Ramdarbar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2611766151,30.6928841,76.789341,2611766151,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre Ramdarbar,,30.6928841,76.789341,,"1,473","3,481","31,519","3,481","3,487"
Chandigarh,UPHC,,351,Health and Wellness Centre  Sarangpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1114213737,30.7809748,76.7558504,1114213737,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre  Sarangpur,,30.7809748,76.7558504,,"1,107","2,282","39,081","2,282","2,282"
Chandigarh,UPHC,,351,Health and Wellness Centre Sector 11,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2245221326,30.7571999,76.7818004,2245221326,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre Sector 11,,30.7571999,76.7818004,,999,"1,895","33,808","1,895","1,895"
Chandigarh,UPHC,,351,Health and Wellness Centre Sector 50,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1116825322,30.6990454,76.7458314,1116825322,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre Sector 50,,30.6990454,76.7458314,,"1,216","2,572","9,140","2,572","2,572"
Chandigarh,UPHC,,351,Health and Wellness Centre Sector-19,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1385287683,30.7309474,76.7944451,1385287683,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre Sector-19,,30.7309474,76.7944451,,"1,072","2,455","54,601","2,455","2,455"
Chandigarh,UPHC,,351,Health and Wellness Centre Sector-20,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8244254853,30.7229932,76.7802297,8244254853,30/06/19,30/06/19,Q2,,277,,Health and Wellness Centre Sector-20,,30.7229932,76.7802297,,958,"1,810","26,141","1,810","1,810"
Chandigarh,UPHC,,351,Health and Wellness Centre Sector-26,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8678616817,30.7250542,76.7903604,8678616817,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre Sector-26,,30.7250542,76.7903604,,"1,088","2,529","62,436","2,529","2,529"
Chandigarh,UPHC,,351,Health and Wellness Centre Sector-35,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8716281848,30.7234558,76.7612974,8716281848,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre Sector-35,,30.7234558,76.7612974,,958,"2,025","34,789","2,025","2,025"
Chandigarh,UPHC,,351,Health and Wellness Centre Sector-42,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3384766717,30.72426904,76.74537862,3384766717,03/07/20,03/07/20,Q3,,277,,Health and Wellness Centre Sector-42,,30.72426904,76.74537862,,874,"1,948","42,888","1,948","1,948"
Chandigarh,UPHC,,351,Health and Wellness Centre- EWS Maloya,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1122166588,30.7588156,76.7171212,1122166588,27/07/21,27/07/21,Q3,,277,,Health and Wellness Centre- EWS Maloya,,30.7588156,76.7171212,,452,791,"9,872",791,791
Chandigarh,UPHC,,351,HWC New Resettlement colony Dhanas,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1348644186,30.7725769,76.7492244,1348644186,03/07/20,03/07/20,Q3,,277,,HWC New Resettlement colony Dhanas,,30.7725769,76.7492244,,"1,636","4,527","75,626","5,484","4,527"