Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer 
Baja Khana,SHC,,40647,Ajit Gill,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7148758175,30.4809987,74.8571095,7148758175,21/04/20,21/04/20,Q2,,0,,Ajit Gill,,30.4809987,74.8571095,,36,69,"5,214",75,66
Baja Khana,SHC,,40647,Aulakh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6385784613,30.641051,74.9155793,6385784613,30/03/20,30/03/20,Q1,,0,,Aulakh,,30.641051,74.9155793,,649,969,"5,944","1,025",975
Baja Khana,SHC,,40647,Bishanandi,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5687823335,30.3939538,74.8552819,5687823335,21/04/20,21/04/20,Q2,,0,,Bishanandi,,30.3939538,74.8552819,,415,471,"4,666",786,786
Baja Khana,SHC,,40647,Burj Jawahar Singh Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8837158719,30.5262185,74.963436,8837158719,30/03/20,30/03/20,Q1,,0,,Burj Jawahar Singh Wala,,30.5262185,74.963436,,578,"1,161","6,030","1,185","1,169"
Baja Khana,SHC,,40647,Chaina,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7174545843,30.4999378,74.9163101,7174545843,04/03/21,04/03/21,Q1,,0,,Chaina,,30.4999378,74.9163101,,14,85,"2,623",338,12
Baja Khana,SHC,,40647,Chand Bhan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1388856633,30.4617379,74.8874433,1388856633,31/12/19,31/12/19,Q4,,0,,Chand Bhan,,30.4617379,74.8874433,,568,953,"6,694",972,945
Baja Khana,SHC,,40647,Deviwala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8876255764,30.6223478,74.8717081,8876255764,31/12/19,31/12/19,Q4,,0,,Deviwala,,30.6223478,74.8717081,,660,"1,535","8,278","1,661","1,410"
Baja Khana,SHC,,40647,Dhilwan Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6411578880,30.5681552,74.8633229,6411578880,31/12/19,31/12/19,Q4,,0,,Dhilwan Kalan,,30.5681552,74.8633229,,697,"1,427","7,614","2,060","1,360"
Baja Khana,SHC,,40647,Dhiman Wali,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8852357345,30.5991804,74.7387431,8852357345,31/12/19,31/12/19,Q4,,0,,Dhiman Wali,,30.5991804,74.7387431,,"1,381","2,633","10,406","2,673","2,436"
Baja Khana,SHC,,40647,Dod,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4434673267,30.4594615,74.9966716,4434673267,29/07/20,29/07/20,Q3,,0,,Dod,,30.4594615,74.9966716,,362,700,"4,270",877,695
Baja Khana,SHC,,40647,Ghaniye Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6741831785,30.6303302,74.9471964,6741831785,21/04/20,21/04/20,Q2,,0,,Ghaniye Wala,,30.6303302,74.9471964,,479,694,"7,493","1,085",778
Baja Khana,SHC,,40647,Gobindgarh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8384741222,30.41134456,74.94781159,8384741222,29/07/20,21/04/20,Q3,,0,,Gobindgarh,,30.41134456,74.94781159,,52,301,"5,331",310,181
Baja Khana,SHC,,40647,Gumti Khurd,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7328785329,30.42902684,74.88154262,7328785329,20/04/21,20/04/21,Q2,,0,,Gumti Khurd,,30.42902684,74.88154262,,310,536,"3,183",728,669
Baja Khana,SHC,,40647,Jhakhar Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8457347550,30.4853882,74.9689149,8457347550,31/12/19,31/12/19,Q4,,0,,Jhakhar Wala,,30.4853882,74.9689149,,807,"1,175","8,266","1,484","1,438"
Baja Khana,SHC,,40647,Khacharan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1647854734,30.43983812,74.77430668,1647854734,30/03/20,30/03/20,Q1,,0,,Khacharan,,30.43983812,74.77430668,,637,"1,103","9,674","1,507","1,068"
Baja Khana,SHC,,40647,Khara,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4244746659,30.5299857,74.719624,4244746659,30/06/19,30/06/19,Q2,,0,,Khara,,30.5299857,74.719624,,539,"1,357","10,709","1,422","1,148"
Baja Khana,SHC,,40647,Marak,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4366434662,30.4578338,74.7569487,4366434662,30/03/20,30/03/20,Q1,,0,,Marak,,30.4578338,74.7569487,,5,171,"4,786",293,6
Baja Khana,SHC,,40647,Matta,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3648455677,30.4834571,74.8352539,3648455677,30/03/20,30/03/20,Q1,,0,,Matta,,30.4834571,74.8352539,,673,"1,335","6,039","1,332","1,330"
Baja Khana,SHC,,40647,Phide Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1433774377,30.58234879,74.68865473,1433774377,31/01/20,31/01/20,Q1,,0,,Phide Kalan,,30.58234879,74.68865473,,721,"1,143","6,100","1,177","1,169"
Baja Khana,SHC,,40647,Sandhwan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4267483719,30.6066977,74.8083294,4267483719,31/12/19,31/12/19,Q4,,0,,Sandhwan,,30.6066977,74.8083294,,"1,683","1,387","10,499","2,533","2,551"
Baja Khana,SHC,,40647,Sarawan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6818776327,30.5246969,74.8819617,6818776327,30/03/20,30/03/20,Q1,,0,,Sarawan,,30.5246969,74.8819617,,480,988,"9,094","1,137",988
Baja Khana,SHC,,40647,Sedha Singh Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7713416886,30.4566269,74.9455371,7713416886,30/03/20,30/03/20,Q1,,0,,Sedha Singh Wala,,30.4566269,74.9455371,,116,"1,465","5,838","1,680","1,465"
Baja Khana,SHC,,40647,Sibian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7274552889,30.5696448,74.9212826,7274552889,21/04/20,21/04/20,Q2,,0,,Sibian,,30.5696448,74.9212826,,625,952,"5,694",952,952
Baja Khana,SHC,,40647,Wander Jatana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7481441678,30.5690037,74.7357317,7481441678,31/12/19,30/11/19,Q4,,0,,Wander Jatana,,30.5690037,74.7357317,,906,"1,445","6,912","1,689","1,689"
Jand Sahib,PHC,,40648,PHC Kot Sukhia,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3823633387,30.6760557,74.8644193,3823633387,30/06/19,30/06/19,Q2,,0,,PHC Kot Sukhia,,30.6760557,74.8644193,,0,91,"1,891",123,8
Jand Sahib,SHC,,40648,Araiyan Wala Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1551257817,30.72968422,74.70568026,1551257817,04/03/21,04/03/21,Q1,,0,,Araiyan Wala Kalan,,30.72968422,74.70568026,,5,11,"3,631",41,31
Jand Sahib,SHC,,40648,Behlewala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3641826874,30.6732283,74.5977679,3641826874,07/01/21,07/01/21,Q1,,0,,Behlewala,,30.6732283,74.5977679,,176,290,"3,318",286,284
Jand Sahib,SHC,,40648,Bhagthala Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4433586544,30.6636075,74.7423022,4433586544,14/07/20,14/07/20,Q3,,0,,Bhagthala Kalan,,30.6636075,74.7423022,,546,226,"4,204",565,865
Jand Sahib,SHC,,40648,Bhana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8666266476,30.7128794,74.8332521,8666266476,31/12/19,31/12/19,Q4,,0,,Bhana,,30.7128794,74.8332521,,745,"1,268","5,739","1,268","1,268"
Jand Sahib,SHC,,40648,Chand Baja,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8148462271,30.7438315,74.8706623,8148462271,14/07/20,14/07/20,Q3,,0,,Chand Baja,,30.7438315,74.8706623,,1,127,"3,426",338,8
Jand Sahib,SHC,,40648,Deep Singh Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8653324478,30.74119565,74.483468,8653324478,30/06/19,30/06/19,Q2,,0,,Deep Singh Wala,,30.74119565,74.483468,,"1,110","2,159","6,278","2,159","2,159"
Jand Sahib,SHC,,40648,Dhilwan Khurd,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8254624474,30.7418337,74.6042673,8254624474,14/07/20,14/07/20,Q3,,0,,Dhilwan Khurd,,30.7418337,74.6042673,,270,864,"5,943",950,268
Jand Sahib,SHC,,40648,Dod,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3574765685,30.7618837,74.6179003,3574765685,14/07/20,14/07/20,Q3,,0,,Dod,,30.7618837,74.6179003,,260,420,"3,028",420,420
Jand Sahib,SHC,,40648,Golewala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2582868812,30.78401505,74.70339655,2582868812,20/04/21,20/04/21,Q2,,0,,Golewala,,30.78401505,74.70339655,,0,19,"3,837",112,0
Jand Sahib,SHC,,40648,Hassan Bhatti,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2385278375,30.8104225,74.74011871,2385278375,30/06/19,30/06/19,Q2,,0,,Hassan Bhatti,,30.8104225,74.74011871,,222,286,"6,173",384,439
Jand Sahib,SHC,,40648,Kameana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3155572559,30.6538034,74.7325794,3155572559,14/07/20,14/07/20,Q3,,0,,Kameana,,30.6538034,74.7325794,,531,644,"7,313",702,879
Jand Sahib,SHC,,40648,Machaki Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6848671142,30.6908753,74.6559066,6848671142,31/12/19,31/12/19,Q4,,0,,Machaki Kalan,,30.6908753,74.6559066,,284,489,"3,382",522,485
Jand Sahib,SHC,,40648,Mehmuana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7387285260,30.6930398,74.6457157,7387285260,30/11/19,30/11/19,Q4,,0,,Mehmuana,,30.6930398,74.6457157,,183,252,"3,225",278,278
Jand Sahib,SHC,,40648,Midduman,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5848183652,30.7213889,74.642422,5848183652,29/07/20,15/07/20,Q3,,0,,Midduman,,30.7213889,74.642422,,845,"1,297","4,035","1,297","1,297"
Jand Sahib,SHC,,40648,Pacca,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3556184889,30.7099107,74.8059169,3556184889,29/07/20,29/07/20,Q3,,0,,Pacca,,30.7099107,74.8059169,,0,485,"2,872",549,527
Jand Sahib,SHC,,40648,Pipli,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8667618543,30.6778303,74.7540887,8667618543,31/12/19,31/12/19,Q4,,0,,Pipli,,30.6778303,74.7540887,,143,256,"5,493",256,256
Jand Sahib,SHC,,40648,Sadhanwala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3768767133,30.8175618,74.6351024,3768767133,31/08/19,31/08/19,Q3,,0,,Sadhanwala,,30.8175618,74.6351024,,250,465,"7,067",465,465
Jand Sahib,SHC,,40648,Sukhanwala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6111728215,30.6365298,74.6489723,6111728215,31/12/19,31/12/19,Q4,,0,,Sukhanwala,,30.6365298,74.6489723,,164,218,"3,677",218,218
Jand Sahib,SHC,,40648,Tehana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1172262238,30.6710848,74.7406638,1172262238,31/12/19,31/12/19,Q4,,0,,Tehana,,30.6710848,74.7406638,,27,89,"2,106",122,4